"RESPONDED_SURVEY","RESIDENT","EVAL_MAJOR","COLLEGE_CODE1","COLLEGE_NAME1","MAJOR_CODE1","COLLEGE_CODE2","COLLEGE_NAME2","MAJOR_CODE2","SP16_ENRL_HRS_AT_CENSUS","SP16_TERM_UI_GRADED._HRS","SP16_TERM_UI_TOTAL_HOURS","ACT","ACTE","ACTM","ACTR","ACTS","AGE","DECLINETOSTATE","ETHNICITY_LOC","GENDER","HSRANK","Semester.Hours","TERM1","TOTAL_UNITS","WHITE","HS_PERCENTILE_RANK","IS_PARENT_HIGHER_ED_GRAD","TFC_LEVEL","TFC_LEVEL_GRAD","TFC_MOD_ASSIGN2015","TFC_INVITED_PREVIOUS","TFC_NONRESIDENT","TFC_STATUS","TFC_YEAR"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,14,14,22,20,22,20,24,18,NA,"White, not of Hispanic or Latino(a) origin","M",48,12,2,14,"Y",48,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","CINEMA","A","College of Liberal Arts and Sciences","IEP",0,NA,NA,21,18,28,15,21,20,NA,"Nonresident Alien","F",NA,NA,4,30,NA,NA,NA,"(1,2]","(1,2]","[3,3]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,15,14,15,26,22,30,21,30,21,NA,"Nonresident Alien","F",NA,71,2,80,NA,NA,NA,"(2,3]","(2,3]","(3,5]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","RAD_SCI_INT",NA,NA,NA,14,14,14,24,25,21,26,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,21,"Y",NA,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,14,12,14,24,23,25,26,21,20,NA,"Asian","M",NA,71,2,79,NA,NA,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENGL",NA,NA,NA,16,16,16,25,26,23,31,19,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,45,2,58.5,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,16,10,12,23,24,20,23,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",95,12,1,16,"Y",95,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,15,15,15,25,23,27,25,26,22,NA,"White, not of Hispanic or Latino(a) origin","F",70,73,2,113,"Y",70,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","Y","R","University College","BLS",NA,NA,NA,7,4,4,NA,NA,NA,NA,NA,30,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,52,"Y",NA,NA,"(1,2]","(1,2]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,15,12,12,22,23,19,22,23,20,NA,"White, not of Hispanic or Latino(a) origin","M",22,34,2,49,"Y",22,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","BIOLOGY",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,23,NA,"White, not of Hispanic or Latino(a) origin","F",99,85,2,142,"Y",99,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"(1,2]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","PSYCH","A","College of Liberal Arts and Sciences","PRE_OCCUP_THERAPY",13,12,13,27,30,26,25,26,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,73,2,93,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,15,15,15,32,33,33,31,29,20,NA,"White, not of Hispanic or Latino(a) origin","M",70,42,2,68,"Y",70,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",13,13,13,27,28,26,27,25,20,NA,"White, not of Hispanic or Latino(a) origin","F",85,81,2,121,"Y",85,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,18,18,18,NA,NA,NA,NA,NA,23,NA,"Nonresident Alien","M",NA,130,4,132,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]","[1,1]","[1,1]","(2010,2011]"
"N","N","Y","E","College of Engineering","ELEC_ENGR",NA,NA,NA,13,13,13,NA,NA,NA,NA,NA,21,NA,"Nonresident Alien","M",NA,49,4,49,NA,NA,NA,"(1,2]","(1,2]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"Y","N","Y","E","College of Engineering","CIV_ENGR",NA,NA,NA,15,15,15,26,24,27,21,31,18,NA,"White, not of Hispanic or Latino(a) origin","M",NA,15,2,36,"Y",NA,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,30,NA,"White, not of Hispanic or Latino(a) origin","M",73,32,1,103.5,"Y",73,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,12,11,NA,NA,NA,NA,NA,NA,30,NA,"Asian","M",NA,44,4,105.5,NA,NA,NA,"(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2010,2011]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,6,6,6,26,26,26,28,25,20,NA,"Hispanic or Latino(a)","F",NA,33,2,35,NA,NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,14,14,14,27,23,26,28,32,20,NA,"White, not of Hispanic or Latino(a) origin","M",85,12,1,33,"Y",85,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","E","College of Engineering","IND_ENGR",NA,NA,NA,15,15,15,24,21,29,21,23,21,NA,"White, not of Hispanic or Latino(a) origin","M",82,67,4,80,"Y",82,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","MATH",NA,NA,NA,17,17,17,21,20,24,18,20,21,NA,"White, not of Hispanic or Latino(a) origin","F",61,102,2,127,"Y",61,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",NA,NA,NA,13,13,3,23,21,22,28,22,19,NA,"White, not of Hispanic or Latino(a) origin","M",55,10,2,38,"Y",55,"N","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY",NA,NA,NA,15,15,15,26,26,27,21,28,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,40,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,6,6,6,25,25,22,27,24,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,4,2,6,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ECON","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",14,10,8,23,22,25,21,25,22,NA,"White, not of Hispanic or Latino(a) origin","M",81,24,2,91,"Y",81,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,12,NA,NA,32,34,33,33,27,20,NA,"White, not of Hispanic or Latino(a) origin","F",95,45,2,87,"Y",95,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,14,14,14,NA,NA,NA,NA,NA,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,13,2,15,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,25,25,29,23,22,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,41,1,52,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,14,14,14,27,29,28,22,27,18,NA,"White, not of Hispanic or Latino(a) origin","M",84,16,2,38,"Y",84,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","DANCE",NA,NA,NA,13,12,13,21,21,17,21,23,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,41,2,51,"Y",NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",14,13,14,NA,NA,NA,NA,NA,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,27,4,119,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,12,12,12,21,21,23,19,20,24,NA,"White, not of Hispanic or Latino(a) origin","M",56,56,2,116,"Y",56,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"(1,2]","(2011,2012]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTL_STDS","A","College of Liberal Arts and Sciences","PRE_MED",6,5,6,27,31,27,25,23,22,NA,"White, not of Hispanic or Latino(a) origin","F",92,43,2,79,"Y",92,"N","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","CHEM",NA,NA,NA,16,16,NA,33,31,33,35,34,26,NA,"White, not of Hispanic or Latino(a) origin","M",NA,68,2,76,"Y",NA,NA,"(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2007,2008]"
"Y","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,15,15,15,20,20,22,20,18,20,NA,"Hispanic or Latino(a)","F",NA,36,2,48,NA,NA,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY",NA,NA,NA,12,12,12,32,33,32,33,31,19,NA,"White, not of Hispanic or Latino(a) origin","F",99,11,2,41,"Y",99,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",NA,NA,NA,14,13,14,24,21,26,25,24,21,NA,"White, not of Hispanic or Latino(a) origin","M",68,102,2,106,"Y",68,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS","A","College of Liberal Arts and Sciences","PRE_MED",15,10,12,25,21,24,26,27,19,NA,"White, not of Hispanic or Latino(a) origin","M",66,14,2,47,"Y",66,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,13,11,13,24,23,25,24,25,18,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,25,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","Y","N","A","College of Liberal Arts and Sciences","OPEN",NA,NA,NA,17,16,18,30,32,31,32,25,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,9,1,9,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","N","A","College of Liberal Arts and Sciences","ELEM_EDUC_INT_CLAS",NA,NA,NA,13,13,13,18,16,18,17,19,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,52,2,59,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","DANCE_INT",NA,NA,NA,13,13,13,17,16,16,18,17,19,NA,"White, not of Hispanic or Latino(a) origin","F",52,11,2,16,"Y",52,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",13,13,13,23,19,24,23,24,18,NA,"White, not of Hispanic or Latino(a) origin","F",NA,13,2,15,"Y",NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI","A","College of Liberal Arts and Sciences","WM_STDS",16,16,16,33,34,29,33,35,18,NA,"White, not of Hispanic or Latino(a) origin","F",82,14,2,52,"Y",82,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","ACTG",NA,NA,NA,15,15,15,25,27,24,26,21,20,NA,"White, not of Hispanic or Latino(a) origin","F",85,59,2,85,"Y",85,"N","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","JRNL_MC","A","College of Liberal Arts and Sciences","INTL_STDS",16,16,16,25,26,20,31,24,21,NA,"White, not of Hispanic or Latino(a) origin","F",87,44,2,59,"Y",87,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"(1,2]","(2013,2014]"
"N","Y","Y","A","College of Liberal Arts and Sciences","SOCIOL",NA,NA,NA,4,4,4,21,21,22,19,23,23,NA,"White, not of Hispanic or Latino(a) origin","M",48,54,4,117,"Y",48,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"(1,2]","(2011,2012]"
"Y","N","Y","A","College of Liberal Arts and Sciences","PSYCH",NA,NA,NA,14,12,14,23,22,21,26,23,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,77,2,84,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","HLTH_HUM_PHYS",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,76,2,80,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"Y","N","Y","E","College of Engineering","BIOMED_ENGR","A","College of Liberal Arts and Sciences","PRE_MED",16,15,16,36,36,36,36,34,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,45,2,73,"Y",NA,"Y","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,20,NA,"Nonresident Alien","M",NA,16,2,17,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","N","Y","B","Tippie College of Business","BUSN_DIR_ADM",NA,NA,NA,15,15,15,31,31,26,35,30,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,43,2,48,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",7,7,7,NA,NA,NA,NA,NA,22,NA,"White, not of Hispanic or Latino(a) origin","F",64,80,2,140,"Y",64,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"(1,2]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","NURS_INT",NA,NA,NA,14,14,14,21,21,19,23,21,19,NA,"White, not of Hispanic or Latino(a) origin","F",82,13,2,31,"Y",82,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_PHYS_THER",13,12,13,28,28,33,24,27,20,NA,"White, not of Hispanic or Latino(a) origin","M",NA,38,2,50,"Y",NA,"N","(1,2]","(1,2]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","POL_SCI","A","College of Liberal Arts and Sciences","COMP_SCI",13,11,5,NA,NA,NA,NA,NA,33,NA,"White, not of Hispanic or Latino(a) origin","M",NA,NA,4,78,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","N","Y","A","College of Liberal Arts and Sciences","MATH","A","College of Liberal Arts and Sciences","THEATRE_ARTS",15,3,15,31,30,33,31,31,22,NA,"White, not of Hispanic or Latino(a) origin","M",89,100,2,138,"Y",89,"N","(3,4]","(4,5]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON",NA,NA,NA,15,NA,NA,30,30,28,32,31,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,15,2,17,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS",NA,NA,NA,13,13,13,29,29,26,32,29,23,NA,"White, not of Hispanic or Latino(a) origin","F",NA,97,2,117,"Y",NA,NA,"(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2010,2011]"
"Y","Y","N","A","College of Liberal Arts and Sciences","PHAR_INT",NA,NA,NA,13,13,13,29,30,27,27,31,18,NA,"White, not of Hispanic or Latino(a) origin","F",95,15,2,46,"Y",95,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","ECON",NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,34,NA,"Hispanic or Latino(a)","F",55,99,2,124,NA,55,NA,"(3,4]","(3,4]","[3,3]","[0,0]",NA,"[1,1]","(1999,2000]"
"Y","N","Y","A","College of Liberal Arts and Sciences","SPORT_REC_MGMT",NA,NA,NA,16,14,15,25,27,27,22,23,19,NA,"African American or Black","F",91,14,2,20,NA,91,"N","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,14,12,14,22,19,28,15,24,28,NA,"White, not of Hispanic or Latino(a) origin","M",NA,12,2,74,"Y",NA,"Y","(2,3]","(2,3]","(3,5]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,12,12,12,18,17,16,16,21,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,14,2,47,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","INTD_STDS","A","College of Liberal Arts and Sciences","PHAR_INT",12,12,12,24,23,27,22,25,21,NA,"White, not of Hispanic or Latino(a) origin","M",60,75,2,82,"Y",60,"Y","(2,3]","(2,3]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","B","Tippie College of Business","FINANCE",NA,NA,NA,16,14,16,28,25,27,29,30,21,NA,"White, not of Hispanic or Latino(a) origin","M",45,70,2,71,"Y",45,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","Y","A","College of Liberal Arts and Sciences","COMM",NA,NA,NA,14,13,14,19,20,18,20,19,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,73,2,75,"Y",NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","COMP_SCI",NA,NA,NA,15,15,15,34,34,34,35,34,20,NA,"White, not of Hispanic or Latino(a) origin","M",93,46,2,89,"Y",93,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","Y","N","A","College of Liberal Arts and Sciences","ATHL_TNG_INT",NA,NA,NA,14,11,12,22,23,19,22,25,19,NA,"African American or Black","F",95,11,2,15,NA,95,"N","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,4,3,4,NA,NA,NA,NA,NA,19,NA,"Hispanic or Latino(a)","F",NA,4,2,4,NA,NA,"Y","[1,1]","[1,1]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"Y","N","Y","B","Tippie College of Business","MKTG","B","Tippie College of Business","MGMT",18,17,18,30,33,28,33,27,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,100,2,127,"Y",NA,"Y","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS","A","College of Liberal Arts and Sciences","IEP",0,NA,NA,NA,NA,NA,NA,NA,18,NA,"Nonresident Alien","M",NA,NA,2,NA,NA,NA,NA,"[1,1]","[1,1]","(3,5]","[0,0]","[1,1]","[1,1]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","HUMAN_PHYSIOLOGY","A","College of Liberal Arts and Sciences","PRE_MED",12,12,12,23,22,26,21,24,22,NA,"White, not of Hispanic or Latino(a) origin","F",93,96,2,123,"Y",93,"N","(3,4]","(4,5]","(3,5]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","BIOCHEM","A","College of Liberal Arts and Sciences","PRE_MED",3,3,3,31,33,35,28,28,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,122,2,126,"Y",NA,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"N","Y","Y","B","Tippie College of Business","MGMT","B","Tippie College of Business","FINANCE",15,15,15,22,20,22,24,22,27,"Y","Race and Ethnicity unknown","M",NA,133,2,195,NA,NA,NA,"(3,4]","(3,4]","[3,3]","[0,0]",NA,"[1,1]","(2006,2007]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ART","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",13,13,13,22,22,18,24,25,21,NA,"White, not of Hispanic or Latino(a) origin","F",NA,6,2,63,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","R","University College","BAS",NA,NA,NA,15,15,15,NA,NA,NA,NA,NA,29,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,60,"Y",NA,NA,"(2,3]","(2,3]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","A","College of Liberal Arts and Sciences","ENTERPRISE_LEADERSHIP",NA,NA,NA,15,12,15,24,23,26,21,25,22,NA,"White, not of Hispanic or Latino(a) origin","M",64,102,2,99,"Y",64,"Y","(3,4]","(3,4]","[3,3]","(0,1]",NA,"[1,1]","(2011,2012]"
"Y","Y","Y","A","College of Liberal Arts and Sciences","CINEMA","A","College of Liberal Arts and Sciences","JRNL_MC",17,16,17,28,33,20,33,25,19,NA,"White, not of Hispanic or Latino(a) origin","F",83,14,2,34,"Y",83,"N","(1,2]","(1,2]","(3,5]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","FINANCE","B","Tippie College of Business","MKTG",16,12,16,30,27,30,29,34,20,NA,"White, not of Hispanic or Latino(a) origin","M",80,69,2,90,"Y",80,"Y","(3,4]","(3,4]","(3,5]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","Y","A","College of Liberal Arts and Sciences","JRNL_MC","A","College of Liberal Arts and Sciences","PRE_LAW",15,13,15,25,25,27,23,26,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,NA,4,61,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"(1,2]","(2014,2015]"
"N","Y","Y","N","College of Nursing","NURS",NA,NA,NA,18,13,18,28,26,28,25,32,20,NA,"White, not of Hispanic or Latino(a) origin","F",NA,84,2,85,"Y",NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","Y","N","A","College of Liberal Arts and Sciences","ELEM_EDUC_INT_CLAS",NA,NA,NA,14,13,14,21,20,20,22,21,18,NA,"White, not of Hispanic or Latino(a) origin","F",61,10,2,14,"Y",61,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
"N","Y","Y","B","Tippie College of Business","MGMT",NA,NA,NA,12,12,12,23,23,25,24,20,20,NA,"Hispanic or Latino(a)","M",NA,65,2,89,NA,NA,"Y","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"Y","Y","Y","E","College of Engineering","MECH_ENGR",NA,NA,NA,17,14,14,25,23,24,23,30,21,NA,"White, not of Hispanic or Latino(a) origin","M",NA,83,2,83,"Y",NA,"N","(2,3]","(2,3]","[3,3]","(0,1]",NA,"[1,1]","(2012,2013]"
"N","N","N","A","College of Liberal Arts and Sciences","PRE_BUSN_CLAS",NA,NA,NA,16,16,16,23,22,24,23,23,19,NA,"White, not of Hispanic or Latino(a) origin","F",NA,39,2,47,"Y",NA,"Y","(1,2]","(1,2]","[3,3]","[0,0]",NA,"[1,1]","(2013,2014]"
"N","N","Y","A","College of Liberal Arts and Sciences","JRNL_MC",NA,NA,NA,16,16,16,NA,NA,NA,NA,NA,22,NA,"Nonresident Alien","F",NA,76,2,77,NA,NA,NA,"(2,3]","(2,3]","[3,3]","(0,1]","[1,1]","[1,1]","(2012,2013]"
"Y","Y","Y","E","College of Engineering","CHEM_ENGR",NA,NA,NA,18,17,17,32,32,34,28,34,19,NA,"White, not of Hispanic or Latino(a) origin","M",NA,15,2,39,"Y",NA,"Y","[1,1]","[1,1]","[3,3]","[0,0]",NA,"[1,1]","(2014,2015]"
